"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
25.14,37,3,"2023-10-30 19:27:13",0.037294,8.68203765125321e-05,21.7543090909092,0.00022019275302841,47.3,0,0.052901,9.06090503205946e-05,20.95,0.000467099366497623,47.11,0.119721899973788
25.148,37,4,"2023-10-30 19:35:43",0.26383,0.000809732466106349,21.4889121212122,0.000952225817087921,47.25,0.0849836585598777,0.052837,0.000125525561805819,20.95,0.000302625992906672,47.19,0.0316227766016842
25.14,37,5,"2023-10-30 19:44:13",0.29162,0.000595911999468976,21.5030090909092,0.000571194035560634,47.36,0.051639777949433,0.053497,0.00013565069521057,20.95,0.000359573259980356,47.2,0
25.14,37,6,"2023-10-30 19:52:43",0.35935,0.000930053761886923,21.5044999999999,0.000849836585602159,47.4,0,0.053544,0.000127732359077704,20.95,4.26983044531917e-15,47.2,0
25.129,37,8,"2023-10-30 20:09:43",1.33287,0.00226963041533688,20.797587878788,0.00128602956959209,47.59,0.0316227766016842,0.054273,0.000170035943912522,20.95,0.000302625992906941,47.19,0.0316227766016842
25.117,37,9,"2023-10-30 20:18:13",1.19562,0.0022024229082233,20.8776181818181,0.00157505811982013,47.59,0.0316227766016842,0.056894,0.00023801027055337,20.95,0.000269679944984934,47.2,0
25.13,37,10,"2023-10-30 20:29:13",0.51391,0.000351030229784014,20.835384848485,0.00046166147027177,47.39,0.0316227766016842,0.056904,0.000176962017267987,20.95,0.000474252912394133,47.21,0.031622776601682
25.08,38,1,"2023-10-30 21:10:22",0.006487,0.000119819308405059,21.8486818181819,0.000390544815001473,47.31,0.0316227766016842,0.052677,9.68446637088936e-05,20.95,0.00026967994498536,47.28,0.042163702135576
25.086,38,2,"2023-10-30 21:18:52",0.04734,9.75249255888519e-05,21.7866787878788,0.000293590337367649,47.3,0,0.052643,8.79456903119437e-05,20.95,0.000424819232698311,47.22,0.042163702135576
25.097,38,3,"2023-10-30 21:27:22",0.036716,0.000108341025367946,21.7333090909091,0.00100100959137104,47.36,0.051639777949433,0.052546,0.000108238419960546,20.95,0.000291287632502493,47.22,0.042163702135576
25.09,38,4,"2023-10-30 21:35:52",0.24853,0.000860297106301718,21.497596969697,0.0010497714999073,47.3,0,0.052563,7.16550378162244e-05,20.95,0.000511155026660181,47.2,0
25.09,38,5,"2023-10-30 21:44:22",0.27203,0.000639531078212781,21.5087030303031,0.000398650923644049,47.3,0,0.053148,6.84430014277887e-05,20.95,0.000465655470101168,47.16,0.051639777949433
25.095,38,6,"2023-10-30 21:52:52",0.33271,0.000699920630420964,21.522112121212,0.000730527229932479,47.4,0,0.053318,9.62404396406316e-05,20.95,0.000302625992907201,47.23,0.0483045891539621
25.07,38,8,"2023-10-30 22:09:52",1.22267,0.00176386570413461,20.8618,0.00113529242439502,47.52,0.0788810637746627,0.054061,6.08184913401243e-05,20.95,0,47.2,0
25.072,38,9,"2023-10-30 22:18:22",1.07062,0.0022463798036446,20.9506090909091,0.0014081293558571,47.5,0,0.056442,0.000156900534663774,20.95,0.000395258088126401,47.2,0
25.08,38,10,"2023-10-30 22:29:22",0.51432,0.000451663591625444,20.8327181818182,0.000499494694159632,47.43,0.0483045891539655,0.056355,0.00025242160499186,20.95,0.000515092094018275,47.29,0.031622776601682
25.07,39,1,"2023-10-30 23:10:31",0.006475,9.1195760135363e-05,21.8628000000001,0.000632455532035697,47.2,0,0.053105,0.000132266565860177,20.95,4.26983044531917e-15,47.26,0.0516397779494293
25.055,39,2,"2023-10-30 23:19:01",0.046111,0.000122515305166335,21.7866060606061,0.000281888771434305,47.24,0.0843274042711546,0.052949,8.30595502569631e-05,20.95,0.000447965847664155,47.1,0
25.048,39,3,"2023-10-30 23:27:31",0.035912,9.21110440959417e-05,21.7516696969698,0.000445327405755021,47.28,0.042163702135576,0.053026,8.83427667918797e-05,20.95,0.000415199436886544,47.16,0.051639777949433
25.059,39,4,"2023-10-30 23:36:01",0.23651,0.000804777401935886,21.5009424242425,0.000948683298050077,47.36,0.051639777949433,0.052901,0.000155094952994752,20.95,0.000482697247760668,47.2,0
25.066,39,5,"2023-10-30 23:44:31",0.25502,0.000329309040939427,21.5350363636363,0.000342303545368061,47.3,0,0.053632,0.000102393576187398,20.95,0.000396958130759656,47.23,0.0483045891539621
25.07,39,6,"2023-10-30 23:53:01",0.31025,0.000721495360730452,21.5374424242424,0.000511155026661459,47.41,0.0567646212197555,0.05368,5.8118652580543e-05,20.95,0.00048269724776165,47.21,0.031622776601682
25.03,39,8,"2023-10-31 00:10:01",1.11618,0.0032324053651181,20.9214000000001,0.00164654520469449,47.5,0,0.05426,0.000109747184221029,20.95,2.368475785867e-15,47.21,0.031622776601682
25.037,39,9,"2023-10-31 00:18:31",0.95985,0.00176462145767554,21.0256090909091,0.0011767958552148,47.6,0,0.056291,0.000218095290081092,20.95,0.00031139957766333,47.3,0
25.02,39,10,"2023-10-31 00:29:31",0.51426,0.000337309617084613,20.8302121212122,0.000421637021356248,47.47,0.0483045891539655,0.056198,0.00012236557250033,20.95,0.000511155026658492,47.35,0.0527046276694737
25.02,40,1,"2023-10-31 01:10:40",0.006257,0.00011776152927751,21.8721363636363,0.000644322524167156,47.32,0.042163702135579,0.052737,7.22726319801157e-05,20.95,0.000396958130759493,47.3,0
25.036,40,2,"2023-10-31 01:19:10",0.044501,0.000151763705220393,21.785993939394,0.000453938989359719,47.3,0,0.05246,7.07106781186556e-05,20.95,0.000334341908506481,47.23,0.0483045891539621
25.07,40,3,"2023-10-31 01:27:40",0.035183,9.58065179874987e-05,21.7516818181819,0.000363762604348496,47.28,0.042163702135576,0.052323,0.000111060544048931,20.95,0.000453938989358786,47.2,0
25.052,40,4,"2023-10-31 01:36:10",0.22483,0.000620125435339943,21.5087454545454,0.00113884577400668,47.33,0.0483045891539655,0.052325,0.000105224627451097,20.95,0.000407009294311719,47.14,0.051639777949433
25.023,40,5,"2023-10-31 01:44:40",0.24082,0.000339280283999987,21.5363000000001,0.000483045891535253,47.3,0,0.052738,8.29725523558504e-05,20.95,4.26983044531917e-15,47.18,0.042163702135579
25.05,40,6,"2023-10-31 01:53:10",0.29073,0.000691295080908932,21.559693939394,0.000628450073552873,47.4,0,0.052918,0.0001015217546473,20.95,0.000395258088125917,47.15,0.0527046276694737
25.067,40,8,"2023-10-31 02:10:10",1.0119,0.00251484481518138,20.9874393939395,0.00119496699868226,47.48,0.042163702135579,0.053343,0.000185415449434206,20.95,0.000495093774063374,47.2,0
25.04,40,9,"2023-10-31 02:18:40",0.86264,0.00172575265383605,21.0845,0.00108012344973487,47.5,0,0.055341,0.000105456678835961,20.95,0,47.22,0.042163702135576
25.045,40,10,"2023-10-31 02:29:40",0.51409,0.000433205109234248,20.8332060606062,0.000504524979109267,47.42,0.042163702135579,0.055124,0.000208230641357127,20.95,0.000420036875085212,47.29,0.031622776601682
24.98,41,1,"2023-10-31 03:10:49",0.006148,0.000110734918712311,21.8686393939393,0.000530865502569446,47.3,0,0.052102,0.000102285004874723,20.95,0.000395258088126401,47.3,0
24.99,41,2,"2023-10-31 03:19:19",0.043064,0.000140728264554227,21.7788000000001,0.000421637021353865,47.29,0.031622776601682,0.052047,9.42867965305858e-05,20.95,3.74488903314848e-15,47.28,0.042163702135576
